purchase_id,customer_name,artwork_title,purchase_date
P0001,Gusty Kimmons,Clematis texensis Buckley,2026-05-29 10:03:12
P0042,Sawyer MacKomb,Vicia cracca L. ssp. tenuifolia (Roth) Gaudin,2026-05-29 10:15:47
P0137,Teddie Wordsworth,Amorpha californica Nutt. var. californica,2026-05-29 10:42:05
P0289,Wernher McCaghan,Ledum groenlandicum Oeder,2026-05-29 11:08:33
P0364,Sarajane Galliford,Lamium L.,2026-05-29 11:21:59
P0418,Joelynn Bagworth,Cladonia subsetacea Robbins ex A. Evans,2026-05-29 11:45:10
P0527,Sharia Spindler,Ipomopsis pinnata (Cav.) V.E. Grant,2026-05-29 12:02:44
P0613,Cahra Garey,Populus tremuloides Michx.,2026-05-29 12:18:27
P0754,Arluene Duesberry,Monardella villosa Benth. ssp. obispoensis (Hoover) Jokerst,2026-05-29 12:39:51
P0891,Rosalinde Kenright,Tragopogon mirus Ownbey,2026-05-29 13:05:16
P1023,Arlan Bosnell,Hypnum pallescens (Hedw.) P. Beauv. var. protuberans (Brid.) Austin,2026-05-29 13:22:38
P1145,Darryl Garth,Carex ovalis Goodenough,2026-05-29 13:47:55
P1267,Margalit Waszczykowski,Salix ×simulans Fernald (pro sp.),2026-05-29 14:03:29
P1389,Regine Caukill,Polygonatum biflorum (Walter) Elliott var. necopinum R. Ownbey,2026-05-29 14:26:11
P1402,Godart Creus,Cyrtandra ×conradtii Rock (pro sp.),2026-05-29 14:49:02
P1534,Gertie Lagen,Calamagrostis stricta (Timm) Koeler ssp. stricta,2026-05-29 15:07:45
P1678,Emeline Snowman,Erigeron rybius G.L. Nesom,2026-05-29 15:31:18
P1790,Mabelle Seeler,Nicotiana repanda Willd. ex Lehm.,2026-05-29 15:52:40
P1823,Veronique McKay,Eriogonum nutans Torr. & A. Gray,2026-05-29 16:10:23
P1956,Elwira Roke,Packera pseudaurea (Rydb.) W.A. Weber & Á. Löve var. flavula (Greene) D.K. Trock & T.M. Barkley,2026-05-29 16:35:59
P2014,Dorelle Ailward,Glycine tabacina (Labill.) Benth.,2026-05-29 17:02:17
P2138,Phillip MacCome,Trichostema brachiatum L.,2026-05-29 17:19:43
P2245,Darius Gready,Metroxylon sagu Rottb.,2026-05-29 17:46:28
P2367,Annissa Gonnet,Peltigera kristinssonii Vitik.,2026-05-29 18:04:12
P2489,Meyer Sawfoot,Penstemon absarokensis Evert,2026-05-29 18:27:36
P2501,Farrell Neiland,Campylopus fragilis (Brid.) Bruch & Schimp.,2026-05-29 18:55:09
P2634,Miguelita Haslum,Myosurus apetalus C. Gay,2026-05-29 19:11:41
P2756,Conchita Eitter,Penstemon leiophyllus Pennell var. leiophyllus,2026-05-29 19:38:22
P2878,Dominica Comsty,Lecidea leucothallina Arnold,2026-05-29 19:57:58
P2990,Terrie McKerton,Pterogonium gracile (Hedw.) Sm.,2026-05-29 10:25:14
P3012,Mace Chase,Bryoria chalybeiformis (L.) Brodo & D. Hawksw.,2026-05-30 10:07:19
P3134,Felicity Fanstone,Chaenotheca cinerea (Pers.) Tibell,2026-05-30 10:33:48
P3256,Gianina Grouse,Didymodon tophaceus (Brid.) Lisa,2026-05-30 10:59:02
P3378,Eliot Robroe,Arabis oxylobula Greene,2026-05-30 11:14:27
P3490,Towny Garmston,Crataegus limata Beadle,2026-05-30 11:39:56
P3512,Ray Kinmond,Cardiospermum dissectum (S. Watson) Radlk.,2026-05-30 12:06:08
P3634,Felike De Nisco,Polystichum acrostichoides (Michx.) Schott,2026-05-30 12:21:33
P3756,Catriona Lovart,Carex congdonii L.H. Bailey,2026-05-30 12:48:17
P3878,Giovanna Wardhaugh,Abronia ameliae Lundell,2026-05-30 13:03:50
P3990,Renell Assante,Pleurocoronis pluriseta (A. Gray) R.M. King & H. Rob.,2026-05-30 13:29:11
P4001,Sheelagh Lavallin,Pinus contorta Douglas ex Loudon var. bolanderi (Parl.) Vasey,2026-05-30 13:52:42
P4123,Britta Coldham,Coreopsis wrightii (A. Gray) H.M. Parker,2026-05-30 14:10:09
P4245,Valerye Voules,Picea A. Dietr.,2026-05-30 14:35:23
P4367,Nedi Tammadge,Streptanthus carinatus C. Wright ex A. Gray,2026-05-30 14:57:38
P4489,Monika Upston,Mitracarpus breviflorus A. Gray,2026-05-30 15:13:26
P4511,Rochester Gopsill,Ranunculus lapponicus L.,2026-05-30 15:40:55
P4633,Alexandre Flicker,Agropyron desertorum (Fisch. ex Link) Schult.,2026-05-30 16:05:44
P4755,Ardyce Trafford,Diploicia A. Massal.,2026-05-30 16:28:31
P4877,Bambi Minett,Spiraea tomentosa L.,2026-05-30 16:47:12
P4999,Viviyan Nowland,Cestrum parqui L'Hér.,2026-05-30 17:09:58
P5021,Margie Bubb,Calochortus simulans (Hoover) Munz,2026-05-30 17:34:20
